title,url,points,user,time,comments
Firebase Leaves Beta Today (firebase.com),https://www.firebase.com/blog/2013-08-15-firebase-leaves-beta-today.html,63 points by ,lyime,56 minutes ago,17 comments
Destructuring Assignment in ECMAScript 6 (fitzgeraldnick.com),http://fitzgeraldnick.com/weblog/50/,40 points by ,mnemonik,49 minutes ago,5 comments
Introducing Stripe UK (stripe.com),https://stripe.com/blog/introducing-stripe-uk,230 points by,woodrow,4 hours ago,118 comments
Datomic in the browser (ragnard.github.io),http://ragnard.github.io/2013/08/12/datomic-in-the-browser.html,47 points by,brucehauman,2 hours ago,1 comment
Facebook App Outage Postmortem (facebook.com),https://developers.facebook.com/blog/post/2013/08/15/summary-of-the-august-13th-app-outage/,15 points by,lacker,32 minutes ago,2 comments
"Ink (YC S12) Releases New iOS Layer That Allows Apps to Interact, Share Data (techcrunch.com)",http://techcrunch.com/2013/08/15/inks-new-mobile-framework-lets-ios-apps-talk-to-each-other-share-data-you-know-like-on-android/,19 points by,betojuareziii,1 hour ago,13 comments
It's the real thing (lettersofnote.com),http://www.lettersofnote.com/2013/07/its-real-thing.html?m=1,75 points by,ezl,3 hours ago,44 comments
The anatomy of the perfect technical interview from a former Amazon VP (firstround.com),http://firstround.com/article/The-anatomy-of-the-perfect-technical-interview-from-a-former-Amazon-VP,55 points by,jnazario,3 hours ago,26 comments
The Washington Post Web site was hacked today (washingtonpost.com),http://www.washingtonpost.com/blogs/ask-the-post/wp/2013/08/15/editors-note/,34 points by,selamattidur ,2 hours ago,26 comments
Why does this Java program terminate despite appearing that it shouldn't? (stackoverflow.com),http://stackoverflow.com/questions/16159203/why-does-this-java-program-terminate-despite-that-appears-that-it-shouldt-and,88 points by,patmcguire,3 hours ago,83 comments
